Code_Artigo	Descricao	Code_Familia	Desc_Familia	Grau	Code_Marca
9020	CALÇA MITRE OVER PANT ALGODÃO JR (8-14ANOS)	95	Sweats e Calças	2	149
9158	CALÇA STRIKE BOSTON JR (4A-16A) ACETATO	95	Sweats e Calças	2	044
9136	CORTA VENTO STRIKE BOSTON JR (4-16A)	96	Blusões	2	044
9167	POLAR REVERSIVEL STRIKE BOSTON (S-XXL)	96	Blusões	2	044
9171	PARKA FRIO STRIKE MIAMI JR (4-16A)	96	Blusões	2	044
9010	MEIA MITRE FUTEBOL INF(30-35) JR(36-40) SR(41-45)	97	Meias	2	149
9040	COLETES TREINO MITRE PERFURADOS REVERSIVEIS(JR/SR)	97	Meias	2	149
9109	MEIA STRIKE FUTEBOL ECO ST11060 (INF/JR/SR)	97	Meias	2	044
9119	MEIA STRIKE FUTEBOL PLAIN ST11061 (INF/JR/SR)	97	Meias	2	044
40013	T-S PUMA ACTIVE AOP TEE G JRA 590812 POLIESTER	334	T-S RAPARIGA	3	135
26035	CUECA INTENSIVE TANGUINHA 16009-2500 (S-XL)	365	BIKINIS PRAIA / PISCINA	3	109
48381	TOP SPEEDO BIKINI SOLID RACERBACK SRA 040320	365	BIKINIS PRAIA / PISCINA	3	005
39517	COPA X-SPORTSLAB R.054627 P/TOPS SRA -33	662	LINGERIE SENHORA	3	199
40036	PORTA CHAVES RIPCURL LOGO KEY RING -BXK6BC PELE	832	CHAVEIROS	3	116
49156	GARRAFA RIPCURL LOGO DRINK HOT/COLD 710ML-14PMUT	839	OUTROS ACESSÓRIOS	3	116
36631	CAMISOLA KELME TEAM K80945 (6A-XXL) LISA	911	Camisolas	3	117
39340	CAMISOLA UMBRO OBLIVION TRAINING JR 99086I (4-14A)	911	Camisolas	3	140
39341	CAMISOLA UMBRO OBLIVION TRAINING SR 97086I (S-2XL)	911	Camisolas	3	140
39342	CAMISOLA UMBRO FIGHT TRAINING JR 99386I (4-14A)	911	Camisolas	3	140
39343	CAMISOLA UMBRO FIGHT TRAINING SR 97386I (S-2XL)	911	Camisolas	3	140
45949	CAMISOLA JOMA COMBI JR/SR 100052 FUTEBOL/TREINO	911	Camisolas	3	298
45950	CAMISOLA JOMA ACADEMY JR/SR 101656 FUTEBOL/TREINO	911	Camisolas	3	298
9080	CAMISOLA PATRICK RIMINI LISA (6-XXL) PRETA	911	Camisolas	3	045
9012	CALÇÃO MITRE AREN SHORT JR TREINO (8-14 ANOS)	912	Calções	3	149
9013	CALÇÃO MITRE AREN SHORT SR TREINO (XS-XXL)	912	Calções	3	149
9034	CAMISOLA GUARDA-REDES MITRE MORETO POLIESTER SR	921	Camisolas GR	3	149
9016	FATO TREINO MITRE ZONAL ACETATO SR (XS-XXL)	931	FT Acetato	3	149
9126	FT STRIKE BOSTON JR (4-16ANOS) ACETATO	931	FT Acetato	3	044
9195	FT STRIKE EDNA ACETATO CRIANÇA (4-6-8-10-12-14-16)	931	FT Acetato	3	044
9017	FATO TREINO MITRE LORENS MICROFIBRA SR (XS-XXL)	932	FT Microfibra	3	149
34822	CAMISOLA ARBITRO STRIKE RAVENNA CA1320006 (S-XXL) 	981	Camisolas Arbitro	3	044
35402	KIT 2 BANDEIRAS JUIZ LINHA C/BOLSA 30311	983	Bandeiras Arbitro auxiliar	3	110
9081	CESTO PLÁSTICO PEQUENO P/TRASP. EQUIPAMENTOS SE24	995	Cestos Plástico	3	110
33931	CONES SINALIZAÇÃO 15cm CSL15	996	Cones - Pinos - Marcos	3	110
9102	MARCOS SINALIZAÇÃO 48PEÇAS - TREINO	996	Cones - Pinos - Marcos	3	110
9108	ESCADA STRIKE TREINO VELOCIDADE TS03/CO149(+-4mts)	997	Escadas treino velocidade	3	044
34129	CESTO P/6 GARRAFAS AGUA UP8260C	998	Cestos com Garrafas de Agua	3	110
40799	CESTO P/8 GARRAFAS AGUA UP8260C8	998	Cestos com Garrafas de Agua	3	110
9011	COLETES TREINO MITRE PERFURADOS (JR/SR)	999	Coletes	3	149
